clean_name,Main Headquaters,Campaign,Description,Involvement,Sub-Category,Big-Category
Rosenbauer International Ag,Austria,afsc.org-Divestment,An Austrian company that manufactures fire-fighting vehicles and equipment,Fire-Fighting,Fire-Fighting,Defense & Security
Rothschild Group,France,DBIO_investor_report,French multinational investment banking company,"Bondholding, Shareholding",Financial Services,Finance & Insurance
Rotshtein Real Estate,Israel,whoprofits.org,A public Israeli construction and real estate company. The company was responsible for the construction of Israeli military and go,Israeli Construction on Occupied Land,Construction,Manufacturing & Industrial
Royal London Group,United Kingdom,DBIO_investor_report,British mutual life insurance company,"Bondholding, Shareholding",Investment,Finance & Insurance
Rt Lta Systems,Israel,whoprofits.org,"A private Israeli company that manufactures aerostats and intelligence, surveillance and reconnaissance balloons.

RT&rsquo;s ch","Settlement Production, Specialized Equipment and Services","Military, Security and Surveillance",Defense & Security
Rtx (Formerly Raytheon),USA,afsc.org-profiting,RTX (formerly Raytheon) is a major U.S. defense contractor and industrial corporation.,Provides missile systems and other defense technology to Israeli forces,Defense,Defense & Security
Sag (Velvel) Building & Development,"Israel, Occupied Palestinian Territory",whoprofits.org,"A private Israeli construction and development company that plans and executes residential, commercial and public construction pro",Israeli Construction on Occupied Land,Construction,Manufacturing & Industrial
Sm Valley,Occupied Palestinian Territory,whoprofits.org,"Exporter and grower of agricultural produce.

The company is located in the Tomer settlement in the occupied Jordan Valley.&nbsp","Services to the Settlements, Settlement Production",Agriculture and Agrotechnology,Agriculture & Food
Sadr Nstruction Works,Occupied Palestinian Territory,whoprofits.org,"A development and construction company, based in the settlement of&nbsp;Adam (Geva Binyamin)&nbsp;in the West Bank.

The company","Israeli Construction on Occupied Land, Settlement Production",Construction,Manufacturing & Industrial
Sabra,Israel (Global),boycott-israel.org,"Sabra, a company known for its hummus and other food products, is partially owned by Strauss Group, an Israeli corporation. Critics argue that supporting Sabra indirectly contributes to the continuation of the conflict due to Strauss Groupís reported support for the Israeli Defense Forces.",Owned by Strauss Group,Food and Beverages,Agriculture & Food
Sabra Hummus,United States,ethicalconsumer.org,A brand of hummus and other Middle Eastern-style dips and spreads.,"Part-owned by The Strauss Group, which provides financial support to the Israel Defense Forces.",Food and Beverages,Agriculture & Food
Salit Haadumim Quarry & Stone Processing Plant,Occupied Palestinian Territory,whoprofits.org,"A private Israeli company that manufactures construction materials and executes infrastructure and construction projects.

The c","Exploitation of Labor, Exploitation of Occupied Production and Resources, Settlement Production",Construction,Manufacturing & Industrial
"Salomon, Levin & Elstein (Sle)",Israel,whoprofits.org,"SLE was Teva&#39;s predecessor, and is&nbsp;presently its full subsidiary, operating as a distribution unit throughout&nbsp;Israel",Palestinian Captive Market,Pharmaceutical,Services & Miscellaneous
Salvat Logistica,Spain,whoprofits.org,"A Spanish company that provides international freight transport, distribution and other logistics services.

Jerusalem Light Rai",Services to the Settlements,Other,Services & Miscellaneous
Santander,Spain,DBIO_creditor_report,Spanish multinational commercial bank and financial services company,Loans and underwriting services,Financial Services,Finance & Insurance
Sarfati Simon,Israel,whoprofits.org,"A private Israeli construction and development company that executes residential, commercial and leisure projects.

Sarfati Simo",Israeli Construction on Occupied Land,Construction,Manufacturing & Industrial
Schroders,United Kingdom,DBIO_investor_report,British multinational asset management company,"Bondholding, Shareholding",Investment,Finance & Insurance
Schwing,Germany,whoprofits.org,"A private German manufacturer of concrete machinery.

Concrete pump vehicles of the company were documented in the construction ","Israeli Construction on Occupied Land, Services to the Settlements, Specialized Equipment and Services",Heavy Machinery,Manufacturing & Industrial
Science Applications International Rporation,USA,afsc.org-Divestment,"An American company that provides scientific, engineering, and technology applications",Defense,Defense,Defense & Security
Semi,Spain,whoprofits.org,"The company specializes in electricity systems and industrial comstruction.

In 2015, the company won a NIS 2 Billion tender to ","Israeli Construction on Occupied Land, Settlement Enterprise",Construction,Manufacturing & Industrial
Shachar And  Building And Engineering Mpany,Occupied Palestinian Territory,whoprofits.org,"A private Israeli development and construction company headquartered in the settlement neighborhood of Pisgat Ze&#39;ev, occupied ",Israeli Construction on Occupied Land,Construction,Manufacturing & Industrial
Shalgal Food,Israel,UN_Report,Food manufacturing,Use of natural resources,Food,Other
Shamir Salads,Occupied Palestinian Territory,whoprofits.org,"A private Israeli company that manufactures and distributes pre-packaged chilled salads, dips and spreads.

The company&#39;s ma","Exploitation of Occupied Production and Resources, Settlement Production",Food Industry,Agriculture & Food
Shamrad Electronics,Israel,whoprofits.org,"A private Israeli manufacturer of security and control systems, CCTV cameras, multimedia, specialized audio, visual and communicat","Private Security and Surveillance Technology, Services to the Settlements, Specialized Equipment and Services, The Wall and Checkpoints","Hi-tech, Military, Security and Surveillance",Technology & Hi-tech
Shapir Engineering And Industry,"Israel, Israel, Israel","DBIO_Listed_Business, whoprofits.org, UN_Report","Israeli construction company, A public Israeli company specializing in infrastructure, Franchise, industry and real estate.

The company operates the Natuf qu, Engineering and construction","Shareholdings, Israeli Construction on Occupied Land, Settlement Production, Services and utilities supporting the maintenance and existence of settlements; Use of natural resources","Construction, Construction, Electricity, Gas and Water Supply, Real Estate, Engineering","Manufacturing & Industrial, Manufacturing & Industrial"
Shield Ai,USA,afsc.org-profiting,Shield AI develops artificial intelligence and self-driving technologies for defense applications.,Develops AI technologies used by Israeli military,Technology,Technology & Hi-tech
Shikun & Binui,United States,DBIO_Listed_Business,American oil and gas corporation,"Loans, Underwriting, Bondholdings, Shareholdings",Energy,Energy & Utilities
Shikun & Binui Group,Israel,whoprofits.org,"A publicly-traded Israeli infrastructure and real estate company involved in various fields, including infrastructure, real estate","Economic Exploitation, Exploitation of Occupied Production and Resources, Israeli Construction on Occupied Land, Population Control, Services to the Settlements, Settlement Enterprise, Specialized Equipment and Services, The Wall and Checkpoints","Construction, Real Estate, Renewable Energy",Manufacturing & Industrial
Shikun Dayarim,Israel,whoprofits.org,"The company specializes in the development and construction of residential, commercial, high-tech, industrial and touristic projec",Israeli Construction on Occupied Land,Construction,Manufacturing & Industrial
Shilo Winery,Occupied Palestinian Territory,whoprofits.org,"A private Israeli winery based in the industrial zone of the settlement of Shiloh in the occupied West Bank.

The winery sources",Settlement Production,"Agriculture and Agrotechnology, Food Industry",Agriculture & Food
Shlomo Hen Nstruction Mpany,Israel,whoprofits.org,"A private construction company.

The company is currently involved in the construction of a new housing project in the settlemen",Israeli Construction on Occupied Land,Construction,Manufacturing & Industrial
Shoham Engineering And Development,Israel,whoprofits.org,"A private Israeli company specializing in civil engineering, construction and infrastructure and development work.

In February ",Israeli Construction on Occupied Land,Construction,Manufacturing & Industrial
Shufersal,"United States, Israel, Israel","DBIO_Listed_Business, whoprofits.org, UN_Report","American multinational technology company, Shufersal operates a retail chain of supermarkets and drugstores and an online shopping platform. Through its subsidiaries, the co, Retail chain","Loans, Underwriting, Bondholdings, Shareholdings, Services to the Settlements, Services and utilities supporting the maintenance and existence of settlements; Use of natural resources","Technology, Finance, Service Industry and Retail, Tourism, Retail","Technology & Hi-tech, Consumer Goods & Retail"
Siemens,"Germany, Germany, United States","bdsmovement.net, boycott-israel.org, DBIO_Listed_Business","Siemens is the main contractor for the Euro-Asia Interconnector., Who Profits team documented Siemens traffic control systems on Road 5 and Road 443 in the occupied West Bank, as part of an Israeli road system on which Palestinians are forbidden from travelling. In March 2018, Siemens and the state-owned Israel Railways signed a USD 917 million contract for the delivery of 60 Desiro HC regional train sets, total of 330 electric train cars, over a period of ten years., American global aerospace, defense, security, and advanced technologies company","Construction, Traffic control systems in occupied territories, Loans, Underwriting, Bondholdings, Shareholdings","Construction, Technology and Computers, Aerospace",Manufacturing & Industrial
Siemens Ag,"Germany, Germany","afsc.org-Divestment, whoprofits.org","A German multinational conglomerate company, A publicly traded German multinational technology conglomerate focused on automation and digitalization in the manufacturing indus","Industrial, Population Control, Services to the Settlements, Settlement Enterprise, Specialized Equipment and Services","Industrial, Industrial Manufacturing, Transportation",Other
Sikorsky Aircraft,USA,afsc.org-Divestment,An American aircraft manufacturer known for producing military helicopters,"Aerospace, Defense","Aerospace, Defense",Defense & Security
Sjunde Ap-Fonden (Ap-7),Sweden,DBIO_investor_report,Swedish national pension fund,Shareholding,Pension Fund,Finance & Insurance
Sk Group,South Korea,afsc.org-profiting,"SK Group is a South Korean conglomerate, involved in various industries including defense.",Involved in defense industry supplying to Israeli military,Defense,Defense & Security
Skandinaviska Enskilda Banken,"Sweden, Sweden","DBIO_creditor_report, DBIO_investor_report","Swedish financial group, Swedish financial group","Loans and underwriting services, Bondholding, Shareholding","Financial Services, Financial Services",Finance & Insurance
Skydio,USA,afsc.org-profiting,Skydio manufactures drones for commercial and defense applications.,Provides drones used by Israeli military,Technology,Technology & Hi-tech
Sma Solar Technology,Germany,whoprofits.org,"The company develops, produces and sells solar and battery inverters, monitoring systems for PV systems, medium-voltage technology","Israeli Construction on Occupied Land, Services to the Settlements","Electricity, Gas and Water Supply",Energy & Utilities
Smart Shooter,Israel,whoprofits.org,Smart Shooter is a private Israeli company that produces electro-optical fire control systems for small arms based on Artificial I,"Population Control, Specialized Equipment and Services, The Wall and Checkpoints","Military, Security and Surveillance",Defense & Security
Smartshooter,Israel,afsc.org-profiting,SMARTSHOOTER develops fire control systems for small arms.,Supplies fire control systems to Israeli military,Defense,Defense & Security
Soci√£¬©T√£¬© G√£¬©N√£¬©Rale,France,DBIO_creditor_report,French multinational investment bank and financial services company,Loans and underwriting services,Financial Services,Finance & Insurance
Sodastream,"Israel, Israel (Local), Israel","bdsmovement.net, boycott-israel.org, ethicalconsumer.org","SodaStream is complicit in displacing Bedouin-Palestinian citizens., An Israeli manufacturing company best known for its device for making carbonated water. It was acquired by PepsiCo, but the primary operations remain in Israel in disputed territories., Manufactures home carbonation products.","Manufacturing, Displacement, Manufacturing in disputed territories, Faced boycott calls for its factory in the illegally occupied West Bank and displacement of Bedouin-Palestinians in the Naqab.","Manufacturing, Food and Beverages, Soft Drinks",Manufacturing & Industrial
Solaredge,Israel,whoprofits.org,"An Israel-based global provider of solar PV inverter systems.

The company&rsquo;s solar systems have been installed in the Shde","Exploitation of Occupied Production and Resources, Israeli Construction on Occupied Land","Construction, Electricity, Gas and Water Supply",Manufacturing & Industrial
Solegreen,Israel,whoprofits.org,"A publicly traded Israeli company active in the initiation, development, construction and management of renewable energy projects.","Settlement Enterprise, Settlement Production",Renewable Energy,Energy & Utilities
Solvay,"Israel, Belgium","DBIO_Listed_Business, whoprofits.org","Israeli bank, A publicly traded Belgian advanced materials and specialty chemicals company.

In June 2019, the presence of company products wa","Underwriting, Bondholdings, Shareholdings, Exploitation of Occupied Production and Resources, Services to the Settlements","Banking, Electricity, Gas and Water Supply",Finance & Insurance
Sonol Israel,"Israel, Israel","whoprofits.org, UN_Report","An Israeli energy company that operates more than 230 gas stations.

The company operates stations in the following settlements , Energy company","Services to the Settlements, Services and utilities supporting the maintenance and existence of settlements; Use of natural resources","Electricity, Gas and Water Supply, Energy","Energy & Utilities, Energy & Utilities"
Sony Rporation,Japan,whoprofits.org,"A Japanese multinational conglomerate corporation. Its diversified business includes consumer and professional electronics, gaming",Private Security and Surveillance Technology,"Hi-tech, Military, Security and Surveillance",Technology & Hi-tech
Spearuav,Israel,afsc.org-profiting,"SpearUAV develops autonomous, AI-based aerial systems.",Provides aerial systems to Israeli military,Defense,Defense & Security
Standard Chartered,United Kingdom,DBIO_creditor_report,British multinational banking and financial services company,Loans and underwriting services,Financial Services,Finance & Insurance
Starbucks,United States,boycott-israel.org,Howard Shultz is the largest private owner of Starbucks shares and is a staunch zionist who invests heavily in Israels economy including a recent $1.7 Billion investment in cybersecurity startup Wiz.,Invests heavily in Israel's economy,Food and Beverages,Agriculture & Food
Starbucks Rporation,United States,ethicalconsumer.org,A multinational chain of coffeehouses and roastery reserves.,"Support for Israel, donations to Israeli Defense Forces",Coffee Shops,Agriculture & Food
Stenfer,Portugal,whoprofits.org,"A global rail infrastructure specialist, providing railway construction and maintenance services, and overhead line electrificatio","Israeli Construction on Occupied Land, Services to the Settlements","Construction, Transportation",Manufacturing & Industrial
Stentofon Israel,Israel,whoprofits.org,The company is the exclusive representative of the Norwegian company Zenitel\Stentofon. The company specializes in communication s,Specialized Equipment and Services,Communication,Technology & Hi-tech
Storebrand,Norway,DBIO_investor_report,Norwegian financial services group,"Bondholding, Shareholding",Financial Services,Finance & Insurance
Strauss Group,Israel (Global),boycott-israel.org,"An Israeli multinational food company, significant in dairy products and snacks, with a variety of partnerships and cooperations across Israel and globally.",Dairy products and snacks,Food and Beverages,Agriculture & Food
"Sturm, Ruger & ,",USA,whoprofits.org,"A US-based manufacturer of firearms.

Ruger rifles are used by the Israeli army to attack Palestinian protestors. These rifles, ",Specialized Equipment and Services,"Military, Security and Surveillance",Defense & Security
Suntech,China,whoprofits.org,"A global Chinese producer of Solar Panels. The company manufactures, develops and delivers solar energy products.

In June 2016,","Exploitation of Occupied Production and Resources, Israeli Construction on Occupied Land","Electricity, Gas and Water Supply",Energy & Utilities
Super Pharm (Israel),Israel,whoprofits.org,"An Israeli drug store chain.

The company operates branches in the settlement of Maaleh Adumim in the occupied West Bank, and th",Services to the Settlements,Service Industry and Retail,Construction & Real Estate
Superbus,"Israel, Israel","whoprofits.org, UN_Report","A private Israeli provider of public transportation. The company also operates private tour buses.

The company operates several, Transportation","Services to the Settlements, Services and utilities supporting the maintenance and existence of settlements","Transportation, Transportation","Transportation & Travel, Transportation & Travel"
Supergum Industries,Israel,whoprofits.org,"Establihsed in 1956, Supergum Manufacturere of Rubber &amp; Plastic products, specializes in rubber, sealing and chemical, biologi","Settlement Production, Specialized Equipment and Services",Industrial Manufacturing,Manufacturing & Industrial
Supergum Industries 1969,Israel,UN_Report,Manufacturing,Use of natural resources,Manufacturing,Manufacturing & Industrial
Susya Dairy,Occupied Palestinian Territory,whoprofits.org,A private Israeli settlement-based company that operates a goat dairy farm and produces cheese under the brand &quot;Halav Haaretz,Settlement Production,Food Industry,Agriculture & Food
Svenska Handelsbanken,"Sweden, Sweden","DBIO_creditor_report, DBIO_investor_report","Swedish financial group, Swedish bank","Loans and underwriting services, Bondholding, Shareholding","Financial Services, Financial Services",Finance & Insurance
Swarovski,Liechtenstein,whoprofits.org,"The world&#39;s largest jewelry and crystal brand.

The company operates a shop in Design City complex located in Mishor Adumim ","Israeli Construction on Occupied Land, Services to the Settlements","Industrial Manufacturing, Service Industry and Retail",Manufacturing & Industrial
Swedbank,"Sweden, Sweden","DBIO_creditor_report, DBIO_investor_report","Swedish banking group, Swedish banking group","Loans and underwriting services, Bondholding, Shareholding","Financial Services, Financial Services",Finance & Insurance
Sysnet Software,Israel,whoprofits.org,"A private Israeli company specializes in IT integration, and characterization, development and implementation of information syste",Specialized Equipment and Services,Hi-tech,Technology & Hi-tech
T & M Protection Resources Holdings Israel,Israel,whoprofits.org,"A private Israeli service provider active in the fields of security, cleaning and maintenance, cyber protection, call center and e","Private Security and Surveillance Technology, Services to the Settlements, Specialized Equipment and Services, The Wall and Checkpoints","Military, Security and Surveillance",Defense & Security
Tmm Integrated Recycling Industries,Israel,whoprofits.org,"An Israeli company that operates Tovlan landfill in the occupied Palestinian territory.

The Tovlan landfill, which is located i",Exploitation of Occupied Production and Resources,Waste Management,Manufacturing & Industrial
Taavura Holdings,Israel,whoprofits.org,"A large Israeli road haulage and logistics company. The group engages in various types of road haulage, earth moving and mining, c","Israeli Construction on Occupied Land, Palestinian Captive Market, Services to the Settlements, Settlement Production, The Wall and Checkpoints","Construction, Transportation",Manufacturing & Industrial
Tabnine,Israel (Global),boycott-israel.org,"Tabnine is an AI-powered code completion tool developed in Israel, enhancing coding efficiency across various programming languages. It's designed to streamline the software development process by integrating with multiple code editors.",AI-powered code completion tool,Online Services and Platforms,Technology & Hi-tech
Tabor Winery,Israel,whoprofits.org,"A large private Israeli winery owned by The Central Bottling Company (Coca Cola Israel).

The winery produces wines from grapes ",Settlement Production,"Agriculture and Agrotechnology, Food Industry",Agriculture & Food
Tadmir Group Management & Operating (2006),Israel,whoprofits.org,"Manufacturer&nbsp;of compound feeds for&nbsp;broilers, layers, turkeys, goose, cattle and sheep.

The company&rsquo;s subsidiary","Israeli Construction on Occupied Land, Palestinian Captive Market, Settlement Production",Agriculture and Agrotechnology,Agriculture & Food
Tahal Group International,"Israel, Netherlands",whoprofits.org,"A multinational engineering company specializing in water and waste-water systems.

Tahal Group International was contracted to ","Israeli Construction on Occupied Land, Services to the Settlements","Electricity, Gas and Water Supply, Waste Management",Energy & Utilities
Tahal Group International Bv,Netherlands,UN_Report,Water supply and infrastructure,Services and utilities supporting the maintenance and existence of settlements,Water Supply,Other
Tal El Llection And Recycling,Occupied Palestinian Territory,whoprofits.org,"A private Israeli recycling and waste management company.

The company operates a plant in Nitzanei Shalom settlement industrial",Settlement Production,Waste Management,Manufacturing & Industrial
Tamar Hazahav,"Israel, Occupied Palestinian Territory",whoprofits.org,"The company produces and exports organic Medjool dates.

Tamar Hazahav grows Medjool dates in the occupied Jordan Valley, and th",Settlement Production,Agriculture and Agrotechnology,Agriculture & Food
Tandu Technologies And Security Systems,Israel,whoprofits.org,"The company is a private Israeli company that specializes in the planning, engineering, management and execution of projects in fi","Private Security and Surveillance Technology, Services to the Settlements, The Wall and Checkpoints","Military, Security and Surveillance",Defense & Security
Tanya Winery,Occupied Palestinian Territory,whoprofits.org,"An Israeli boutique winery based in the settlement of Ofra in the occupied West Bank.

The winery, visitor center and vineyards ",Settlement Production,"Agriculture and Agrotechnology, Food Industry",Agriculture & Food
Tara,Israel (Local),boycott-israel.org,A smaller dairy company compared to Tnuva but still has a significant presence in the Israeli market. Purchased by Coca Cola in 1997.,Dairy company purchased by Coca Cola,Food and Beverages,Agriculture & Food
Taro Pharmaceutical Industries,Israel,whoprofits.org,"
Taro is a multinational, science-based pharmaceutical company. The company develops, manufactures and markets prescription and O",Palestinian Captive Market,Pharmaceutical,Services & Miscellaneous
Tedem Civil Engineering,Israel,whoprofits.org,"A private consulting engineering company in the field of transportation infrastructure planning and design.

The company carried","Israeli Construction on Occupied Land, The Wall and Checkpoints",Construction,Manufacturing & Industrial
Tekoa Mushroom Farm,Israel,whoprofits.org,"A private Israeli company that produces, markets and imports mushrooms and other vegetables and fruits.

The company is located ",Settlement Production,Agriculture and Agrotechnology,Agriculture & Food
Teledyne Technologies,USA,afsc.org-Divestment,An American industrial conglomerate focused on providing solutions in the aerospace and defense sectors,"Aerospace, Defense","Aerospace, Defense",Defense & Security
Telrad Networks,Israel,whoprofits.org,"The company operates in the field of communication. It provides solutions in the fields of wireless connection, communication equi","Israeli Construction on Occupied Land, Population Control, Services to the Settlements, Settlement Enterprise, Specialized Equipment and Services","Communication, Hi-tech",Technology & Hi-tech
Teltone Electronics,"Israel, Occupied Palestinian Territory",whoprofits.org,"A private Israeli manufacturer and importer of audio speakers and amplification systems.

As at July 2016, the company was locat","Settlement Production, Specialized Equipment and Services","Military, Security and Surveillance, Service Industry and Retail",Defense & Security
Tempo Beverages,"Israel (Local), Israel","boycott-israel.org, whoprofits.org","Produces a variety of alcoholic and non-alcoholic beverages. It has a significant presence in the Israeli beverage market., A publicly listed Israeli company that manufactures, markets and exports beverages.

Tempo Beverages and its subsidiaries are th","Produces beverages in Israel, Exploitation of Occupied Production and Resources","Food and Beverages, Food Industry",Agriculture & Food
Tempur Sealy,"United States, USA","boycott-israel.org, whoprofits.org","The company is a bedding provider. It develops, manufactures and markets mattresses, adjustable bases, pillows and other sleep and relaxation products. Through its Israeli distributor, the company operates a branch in the Design City Complex in Mishor Adumim settlement IZ, occupied West Bank., The company is a bedding provider. It develops, manufactures and markets mattresses, adjustable bases, pillows and other sleep and","Manufactures mattresses in occupied territories, Israeli Construction on Occupied Land, Services to the Settlements","Others, Industrial Manufacturing",Other
Tempur Sub-Brand,United States,boycott-israel.org,"These are sub-brands under Tempur Sealy International, a company that develops, manufactures, and markets mattresses, adjustable bases, pillows, and other sleep and relaxation products.",Tempur-Tempur Pedic-Cocoon-Sealy-Stearns & Foster,Others,Other
Teperberg 1870,Israel,whoprofits.org,"A privately owned Israeli winery that grows, markets and exports wines.

The winery owns and sources from vineyards in the occup","Exploitation of Occupied Production and Resources, Settlement Production","Agriculture and Agrotechnology, Food Industry",Agriculture & Food
Teralight,Israel,whoprofits.org,"A publicly traded Israeli company active in the development, financing, operation and management of solar energy projects.

The ","Economic Exploitation, Exploitation of Occupied Production and Resources, Services to the Settlements, Settlement Enterprise, Settlement Production",Renewable Energy,Energy & Utilities
Terex Rporation,USA,whoprofits.org,"A publicly-traded US-based manufacturer of heavy machinery for the construction, quarrying, recycling and transportation industrie","Israeli Construction on Occupied Land, Specialized Equipment and Services, The Wall and Checkpoints",Heavy Machinery,Manufacturing & Industrial
Teva,Israel (Global),boycott-israel.org,"Teva Pharmaceutical Industries Ltd., often referred to simply as Teva, is an Israeli multinational pharmaceutical company headquartered in Petah Tikva, Israel. Teva's activities in Israel are substantial, given that it originated there and has established its global headquarters in the country. Teva operates manufacturing facilities across Israel, which produce a variety of medications distributed both locally and internationally.",Manufacturing facilities in Israel,Pharmaceutical and Medicine,Other
Teva Naot,"Israel, Occupied Palestinian Territory",whoprofits.org,"An Israeli manufacturer of footwear, luggage and handbags.

The company operates branches in Ariel and Kfar Etzion settlements, ",Services to the Settlements,"Industrial Manufacturing, Service Industry and Retail",Manufacturing & Industrial
Teva Pharmaceutical Industries,"Israel, Israel","bdsmovement.net, whoprofits.org","Teva benefits from Israel‚Äôs illegal occupation of Palestinian lands., A global pharmaceutical company and the world&#39;s largest generic drug manufacturer.&nbsp;The company develops, produces and mar","Pharmaceuticals, Exploitation, Palestinian Captive Market","Pharmaceuticals, Pharmaceutical",Other
Teva Sub-Brand,Israel (Global),boycott-israel.org,"These are sub-brands of Teva Pharmaceutical Industries Ltd., an Israeli multinational pharmaceutical company.","Allen & Hanburys-Assia-Auspex Pharmaceuticals-Cephalon-Gecko Health Innovations-Glaxo-Ikapharm-IVAX Corporation-Labrys Biologics-Margarine Unie-MicroDose-Novopharm-NuPathe after-Plantex-Rimsa-Salomon, Levin, and Elstein Ltd-Taiyo Pharmaceutical Industry-Zori",Pharmaceutical and Medicine,Other
Textron,USA,afsc.org-profiting,Textron is an American industrial conglomerate.,Provides military technology and services to Israeli forces,Defense,Defense & Security
The Boeing Mpany,USA,afsc.org-profiting,"The Boeing Company is an American multinational corporation that designs, manufactures, and sells airplanes, rotorcraft, rockets, satellites, and telecommunications equipment.",Provides military aircraft and services to Israeli forces,"Aerospace, Defense",Defense & Security
The Central Bottling Mpany (Ca La Israel),Israel,whoprofits.org,"The Central Beverage Company, known as Coca-Cola Israel, is a private Israeli manufacturer and distributor of soft drinks, dairy p","Settlement Enterprise, Settlement Production",Food Industry,Agriculture & Food
The Central Bottling Mpany (Ca La),Israel (Global),boycott-israel.org,"The Central Beverage Company, known as Coca-Cola Israel, is a private Israeli manufacturer and distributor of soft drinks, dairy products and alcoholic beverages. The company is the exclusive franchisee of The Coca-Cola Company in Israel.",Exclusive franchisee of The Coca-Cola Company in Israel,Food and Beverages,Agriculture & Food
The Metrontario Group,Canada,whoprofits.org,"A private Canadian corporation with investments in the fields of real estate, environmental development, nuclear medicine, marine ",Israeli Construction on Occupied Land,"Agriculture and Agrotechnology, Construction, Real Estate",Agriculture & Food
The Phoenix Holdings,Israel,whoprofits.org,"A publicly-traded Israeli company operating in the fields of insurance, managing financial assets, credit loans and other financia","Exploitation of Occupied Production and Resources, Israeli Construction on Occupied Land, Services to the Settlements, Specialized Equipment and Services",Finance,Finance & Insurance
The Walt Disney Mpany,United States,ethicalconsumer.org,An American diversified multinational mass media and entertainment conglomerate.,Boycott called for Disneyís promotion of a Marvel superhero character that personifies apartheid Israel.,Streaming Services,Technology & Hi-tech
Thyssenkrupp,Germany,afsc.org-profiting,ThyssenKrupp is a German multinational conglomerate.,Provides steel and technology used in military applications,Manufacturing,Manufacturing & Industrial
Thyssenkrupp Ag,Germany,whoprofits.org,"A German industrial and technology multinational conglomerate, active in the fields of Automotive Technology, Decarbon Technologie","Population Control, Specialized Equipment and Services",Industrial Manufacturing,Manufacturing & Industrial
Tishbi Estate Winery (Habaron Wine Cellars),Israel,whoprofits.org,"A private Israeli winery.

The winery owns vineyards in the Gush Etzion settlement bloc in the occupied West Bank and in Kidmat ",Settlement Production,"Agriculture and Agrotechnology, Food Industry",Agriculture & Food
Tkh Security,Netherlands,bdsmovement.net,TKH Security provides surveillance technology to Israeli police.,Surveillance,Surveillance,Other
Tnufa Transportation Solutions,Israel,whoprofits.org,"A private company operating public transportation lines in Israel.

The company was founded in 2020 after winning a tender to op","Services to the Settlements, Settlement Enterprise",Transportation,Transportation & Travel
Tnuva,Israel (Global),boycott-israel.org,"Tnuva is the largest food manufacturer in Israel; its sales account for 70% of the country's dairy market as well as sales of meat, eggs and packaged food.",Largest food manufacturer in Israel,Food and Beverages,Agriculture & Food
Tnuva Group,Israel,whoprofits.org,An Israeli company for food production and marketing. The company holds a significant share of the Israeli market in the field of ,"Economic Exploitation, Palestinian Captive Market, Services to the Settlements, Settlement Enterprise, Settlement Production","Agriculture and Agrotechnology, Food Industry",Agriculture & Food
Top Greenhouses,Occupied Palestinian Territory,whoprofits.org,"The company manufactures and markets greenhouses.

The company is located in Ariel Industrial Zone in the occupied West Bank.
",Settlement Production,Agriculture and Agrotechnology,Agriculture & Food
Top Sky Line Engineering Systems,Israel,whoprofits.org,"A private Israeli company operating in electronic homeland security, surveillance, intrusion detection, access control and&nbsp;pr",Private Security and Surveillance Technology,"Military, Security and Surveillance",Defense & Security
Toyota,Japan,afsc.org-profiting,Toyota is a Japanese multinational automotive manufacturer.,Provides vehicles used by Israeli military,Automotive,Transportation & Travel
Toyota Motor Rporation,"Japan, Japan","boycott-israel.org, whoprofits.org","Toyota Hilux Vehicles are used by the Israeli military and border police to protect illegal settlements and military bases along the West Bank, to suppress Palestinian demonstrators and to carry out house demolitions., A Japanese multinational automotive manufacturer with activities in the fields of housing, financial services, communications, mar","Vehicles used by Israeli military and border police, Specialized Equipment and Services","Others, Industrial Manufacturing",Other
Tredje Ap-Fonden (Ap-3),Sweden,DBIO_investor_report,Swedish national pension fund,"Bondholding, Shareholding",Financial Services,Finance & Insurance
Trima Israel Pharmaceutical Products - Maabarot,Israel,whoprofits.org,"A private Israeli company specializes in the development, production and import of pharmaceutical products.

The company supplie",Palestinian Captive Market,Pharmaceutical,Services & Miscellaneous
Tripadvisor,"United States, United States, United States","boycott-israel.org, DBIO_Listed_Business, UN_Report","Through its travel booking websites, TripAdvisor advertises hotels, resorts, restaurants and guesthouses in the occupied West Bank, occupied East Jerusalem and the occupied Syrian Golan., American multinational technology company, Travel company","Promotes properties in occupied territories, Loans, Underwriting, Bondholdings, Shareholdings, Services and utilities supporting the maintenance and existence of settlements","Online Services and Platforms, Technology, Travel","Technology & Hi-tech, Other"
"Tripadvisor,",USA,whoprofits.org,"A US based publicly traded company that owns and operates online travel brands and websites.

Company&rsquo;s online travel webs","Services to the Settlements, Settlement Enterprise",Tourism,Transportation & Travel
Trpadvisor Sub-Brand,United States,boycott-israel.org,"These are sub-brands under TripAdvisor, an online travel company that provides booking of hotel rooms, airline seats, car rentals, and destination services.",Bokun.io-Cruisecritic-Flipkey-Thefork-Helloreco-Holidaylettings-Housetrip-Jetsetter-Niumba-Seatguru-Singleplatform-Vacationhomerentals-Viator,Online Services and Platforms,Technology & Hi-tech
Tshuva Research,Israel,whoprofits.org,"A private Israeli investigation company.

In 2018 the company won a tender in a total amount of NIS 250,000 with the Central Uni","Population Control, Private Security and Surveillance Technology","Military, Security and Surveillance",Defense & Security
